Standard Revolver,20,5
Standard Axe,20,5
Standard Flamethrower,20,5
Standard Machete,20,5
Standard Bat,20,5
Premier Revolver,40,10
Premier Axe,40,10
Premier Flamethrower,40,10
Premier Machete,40,10
Premier Bat,40,10
Ultimate Revolver,60,15
Ultimate Axe,60,15
Ultimate Flamethrower,60,15
Ultimate Machete,60,15
Ultimate Bat,60,15
Standard Herbs,20,5
Standard Potion,20,5
Standard FirstAid,20,5
Premier Herbs,40,10
Premier Potion,40,10
Premier FirstAid,40,10
Ultimate Herbs,60,15
Ultimate Potion,60,15
Ultimate FirstAid,60,15
Excalibur Sword,150,20
