Scrappy Vampire,162,Standard Fangs,5,20
Scrappy Werewolf,50,Standard Claws,5,20
Scrappy Dragon,104,Premier Fire-Breath,5,40
Scrappy Gremlin,146,Standard Teeth,5,20
Scrappy Troll,140,Standard Club,5,20
Scrappy Ghoul,125,Premier Teeth,5,40
Scrappy Shifter,139,Standard Claws,5,20
Scrappy Demon,125,Standard Sword,5,20
Scrappy Mutant,62,Standard Super-Punch,5,20
Scrappy Zombie,189,Ultimate Teeth,5,60
Feisty Vampire,115,Standard Fangs,5,20
Feisty Werewolf,144,Premier Claws,5,40
Feisty Dragon,184,Ultimate Fire-Breath,5,60
Feisty Gremlin,182,Standard Teeth,5,20
Feisty Troll,91,Standard Club,5,20
Feisty Ghoul,183,Premier Teeth,5,40
Feisty Shifter,105,Ultimate Claws,5,60
Feisty Demon,118,Premier Sword,5,40
Feisty Mutant,95,Standard Super-Punch,5,20
Feisty Zombie,69,Premier Teeth,5,40
Quarrelsome Vampire,63,Standard Fangs,5,20
Quarrelsome Werewolf,196,Premier Claws,5,40
Quarrelsome Dragon,98,Standard Fire-Breath,5,20
Quarrelsome Gremlin,57,Premier Teeth,5,40
Quarrelsome Troll,185,Standard Club,5,20
Quarrelsome Ghoul,71,Premier Teeth,5,40
Quarrelsome Shifter,85,Premier Claws,5,40
Quarrelsome Demon,196,Premier Sword,5,40
Quarrelsome Mutant,118,Ultimate Super-Punch,5,60
Quarrelsome Zombie,121,Ultimate Teeth,5,60
Rabid Vampire,148,Standard Fangs,5,20
Rabid Werewolf,116,Standard Claws,5,20
Rabid Dragon,192,Standard Fire-Breath,5,20
Rabid Gremlin,65,Ultimate Teeth,5,60
Rabid Troll,153,Ultimate Club,5,60
Rabid Ghoul,177,Ultimate Teeth,5,60
Rabid Shifter,133,Premier Claws,5,40
Rabid Demon,171,Standard Sword,5,20
Rabid Mutant,199,Standard Super-Punch,5,20
Rabid Zombie,98,Standard Teeth,5,20
Deranged Vampire,129,Standard Fangs,5,20
Deranged Werewolf,189,Standard Claws,5,20
Deranged Dragon,137,Premier Fire-Breath,5,40
Deranged Gremlin,86,Ultimate Teeth,5,60
Deranged Troll,164,Ultimate Club,5,60
Deranged Ghoul,66,Premier Teeth,5,40
Deranged Shifter,114,Ultimate Claws,5,60
Deranged Demon,70,Standard Sword,5,20
Deranged Mutant,71,Ultimate Super-Punch,5,60
Deranged Zombie,97,Ultimate Teeth,5,60
Extraordinary T-Rex,200,Ultimate Tiny-Arm-Attack,0,500
